text;sentiment
Ada apel pagi anggota Polres Purwokerto hari ini.;neutral
Salut untuk polisi Purwokerto yang sigap membantu warga.;positive
Warga merasa tidak aman di Pemalang karena jarang patroli.;negative
Lalu lintas di pusat kota Salatiga terpantau ramai.;neutral
Polisi Magelang sangat profesional dalam bertugas.;positive
Warga merasa tidak aman di Pati karena jarang patroli.;negative
Polisi sedang melakukan sosialisasi di desa Magelang.;neutral
Alhamdulillah, pengamanan di Brebes sangat kondusif.;positive
Banyak pungli di jalanan Purworejo, tolong ditindak.;negative
Petugas sedang mengolah TKP di daerah Surakarta.;neutral
Terima kasih Rembang atas respon cepatnya.;positive
Laporan kehilangan di Jepara tidak ada kejelasan.;negative
Ada apel pagi anggota Polres Pekalongan hari ini.;neutral
Senang sekali laporan saya di Rembang diproses cepat.;positive
Proses bikin SIM di Kebumen dipersulit terus.;negative
Petugas terlihat berjaga di area pasar Klaten.;neutral
Program baksos Polres Solo sangat menyentuh hati.;positive
Proses bikin SIM di Purworejo dipersulit terus.;negative
Kegiatan patroli rutin di wilayah Banjarnegara sedang berjalan.;neutral
Apresiasi untuk petugas lantas Kudus yang ramah.;positive
Sangat disayangkan penanganan kasus di Magelang berbelit-belit.;negative
Ada apel pagi anggota Polres Boyolali hari ini.;neutral
Kinerja aparat di Batang patut diacungi jempol.;positive
Laporan kehilangan di Solo tidak ada kejelasan.;negative
Informasi lebih lanjut akan disampaikan Polres Boyolali.;neutral
Polisi Surakarta sangat profesional dalam bertugas.;positive
Kecewa dengan pelayanan di Polres Blora, sangat lambat.;negative
Petugas sedang mengolah TKP di daerah Wonosobo.;neutral
Salut untuk polisi Banyumas yang sigap membantu warga.;positive
Polisi di Grobogan datangnya lama sekali saat ada kejadian.;negative
