text;topic
Suasana sore hari yang tenang di alun-alun Kendal.;lainnya
Kasus penipuan online marak menyerang warga Boyolali.;kriminal
Razia knalpot brong digelar serentak di wilayah Pekalongan.;lalu_lintas
Ruang pelayanan di Polsek Jepara kini lebih nyaman.;pelayanan
Bantuan sembako disalurkan polisi untuk korban banjir di Pemalang.;sosial
Suasana sore hari yang tenang di alun-alun Magelang.;lainnya
Terjadi aksi pencurian motor di daerah Banjarnegara.;kriminal
Perbaikan jembatan di Brebes menyebabkan antrean panjang.;lalu_lintas
Persyaratan pembuatan SKCK di Polres Wonosobo cukup mudah.;pelayanan
Demo mahasiswa di depan gedung DPRD Pati berjalan damai.;sosial
Pasar tradisional di Jepara mulai ramai pengunjung.;lainnya
Ditemukan korban pembunuhan di pinggir jalan Jepara.;kriminal
Lampu merah di persimpangan Semarang mati total.;lalu_lintas
Panduan lapor kehilangan barang di wilayah Salatiga.;pelayanan
Penyuluhan bahaya radikalisme kepada pemuda desa Klaten.;sosial
Suasana sore hari yang tenang di alun-alun Tegal.;lainnya
Aksi begal di Tegal meresahkan pengguna jalan malam.;kriminal
Perbaikan jembatan di Ungaran menyebabkan antrean panjang.;lalu_lintas
Ruang pelayanan di Polsek Surakarta kini lebih nyaman.;pelayanan
Bantuan sembako disalurkan polisi untuk korban banjir di Jepara.;sosial
Cuaca hari ini diperkirakan hujan di seputar Purworejo.;lainnya
Tim Resmob berhasil meringkus pelaku jambret di Boyolali.;kriminal
Razia knalpot brong digelar serentak di wilayah Ungaran.;lalu_lintas
Panduan lapor kehilangan barang di wilayah Tegal.;pelayanan
Penyuluhan bahaya radikalisme kepada pemuda desa Klaten.;sosial
Potret kebersamaan warga saat ronda malam di Klaten.;lainnya
Terjadi aksi pencurian motor di daerah Grobogan.;kriminal
Kecelakaan beruntun melibatkan bus di jalur Kudus.;lalu_lintas
Ruang pelayanan di Polsek Purbalingga kini lebih nyaman.;pelayanan
Penyuluhan bahaya radikalisme kepada pemuda desa Solo.;sosial
Pasar tradisional di Grobogan mulai ramai pengunjung.;lainnya
Tim Resmob berhasil meringkus pelaku jambret di Surakarta.;kriminal
Himbauan keselamatan berkendara di jalan raya Solo.;lalu_lintas
Masyarakat mengapresiasi kemudahan administrasi di Polres Pekalongan.;pelayanan
Bantuan sembako disalurkan polisi untuk korban banjir di Cilacap.;sosial
Potret kebersamaan warga saat ronda malam di Sragen.;lainnya
Aksi begal di Surakarta meresahkan pengguna jalan malam.;kriminal
Kecelakaan beruntun melibatkan bus di jalur Boyolali.;lalu_lintas
Jadwal SIM keliling hari ini berlokasi di balai kota Kudus.;pelayanan
Kegiatan Jumat Berkah pembagian makanan di masjid Tegal.;sosial
Cuaca hari ini diperkirakan hujan di seputar Pemalang.;lainnya
Polisi berhasil menangkap pengedar narkoba di Surakarta.;kriminal
Himbauan keselamatan berkendara di jalan raya Cilacap.;lalu_lintas
Sosialisasi aplikasi pelayanan publik Polri di Pekalongan.;pelayanan
Bantuan sembako disalurkan polisi untuk korban banjir di Sukoharjo.;sosial
Pasar tradisional di Banyumas mulai ramai pengunjung.;lainnya
Ditemukan korban pembunuhan di pinggir jalan Ungaran.;kriminal
Kecelakaan beruntun melibatkan bus di jalur Grobogan.;lalu_lintas
Ruang pelayanan di Polsek Purwokerto kini lebih nyaman.;pelayanan
Demo mahasiswa di depan gedung DPRD Kudus berjalan damai.;sosial
Event lari bersama warga di stadion Jepara berlangsung meriah.;lainnya
Ditemukan korban pembunuhan di pinggir jalan Magelang.;kriminal
Lalu lintas menuju Jepara macet total karena genangan air.;lalu_lintas
Persyaratan pembuatan SKCK di Polres Purworejo cukup mudah.;pelayanan
Bantuan sembako disalurkan polisi untuk korban banjir di Banjarnegara.;sosial
Event lari bersama warga di stadion Blora berlangsung meriah.;lainnya
Tim Resmob berhasil meringkus pelaku jambret di Purbalingga.;kriminal
Razia knalpot brong digelar serentak di wilayah Batang.;lalu_lintas
Persyaratan pembuatan SKCK di Polres Sukoharjo cukup mudah.;pelayanan
Penyuluhan bahaya radikalisme kepada pemuda desa Brebes.;sosial
Cuaca hari ini diperkirakan hujan di seputar Boyolali.;lainnya
Kasus penipuan online marak menyerang warga Kudus.;kriminal
Lampu merah di persimpangan Pemalang mati total.;lalu_lintas
Jadwal SIM keliling hari ini berlokasi di balai kota Wonosobo.;pelayanan
Penyuluhan bahaya radikalisme kepada pemuda desa Batang.;sosial
Potret kebersamaan warga saat ronda malam di Kendal.;lainnya
Kasus penipuan online marak menyerang warga Grobogan.;kriminal
Lalu lintas menuju Boyolali macet total karena genangan air.;lalu_lintas
Persyaratan pembuatan SKCK di Polres Batang cukup mudah.;pelayanan
Bantuan sembako disalurkan polisi untuk korban banjir di Karanganyar.;sosial
Suasana sore hari yang tenang di alun-alun Pekalongan.;lainnya
Polisi berhasil menangkap pengedar narkoba di Demak.;kriminal
Lampu merah di persimpangan Purworejo mati total.;lalu_lintas
Masyarakat mengapresiasi kemudahan administrasi di Polres Purbalingga.;pelayanan
Pengamanan ibadah minggu di gereja-gereja wilayah Sragen.;sosial
Suasana sore hari yang tenang di alun-alun Blora.;lainnya
Polisi berhasil menangkap pengedar narkoba di Kebumen.;kriminal
Lampu merah di persimpangan Banjarnegara mati total.;lalu_lintas
Persyaratan pembuatan SKCK di Polres Batang cukup mudah.;pelayanan
Penyuluhan bahaya radikalisme kepada pemuda desa Salatiga.;sosial
Potret kebersamaan warga saat ronda malam di Purwokerto.;lainnya
Terjadi aksi pencurian motor di daerah Ungaran.;kriminal
Razia knalpot brong digelar serentak di wilayah Kendal.;lalu_lintas
Ruang pelayanan di Polsek Magelang kini lebih nyaman.;pelayanan
Penyuluhan bahaya radikalisme kepada pemuda desa Ungaran.;sosial
Kisah inspiratif polisi yang mengajar anak-anak di Boyolali.;lainnya
Ditemukan korban pembunuhan di pinggir jalan Jepara.;kriminal
Perbaikan jembatan di Kudus menyebabkan antrean panjang.;lalu_lintas
Sosialisasi aplikasi pelayanan publik Polri di Purbalingga.;pelayanan
Warga gotong royong bersama polisi membersihkan selokan Sragen.;sosial
Suasana sore hari yang tenang di alun-alun Jepara.;lainnya
