text;label
Kebakaran hebat sedang berlangsung di pasar Temanggung, butuh bantuan!;1
Kondisi pos keamanan di perbatasan Kudus tetap terjaga.;0
Tawuran massal pecah di depan sekolah Pati, situasi darurat!;1
Bagaimana cara membuat laporan kehilangan di Polsek Banjarnegara?;0
Ada korban penembakan di jalan Surakarta, pelaku kabur!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Sragen.;0
Pasien kritis butuh pengawalan ambulans darurat di Surakarta!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Purbalingga.;0
Ada aksi perampokan bank di pusat kota Blora, segera kirim bantuan!;1
Kondisi pos keamanan di perbatasan Wonosobo tetap terjaga.;0
Ditemukan bom di area publik Batang, mohon segera sterilisasi!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Batang.;0
Pasien kritis butuh pengawalan ambulans darurat di Semarang!;1
Warga sedang mengadakan acara syukuran di balai desa Sragen.;0
Tolong ada kecelakaan maut di KM Banjarnegara tol!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Temanggung.;0
Tawuran massal pecah di depan sekolah Surakarta, situasi darurat!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Solo.;0
Tawuran massal pecah di depan sekolah Rembang, situasi darurat!;1
Petugas melakukan patroli rutin di lingkungan warga Karanganyar.;0
Kebakaran hebat sedang berlangsung di pasar Purbalingga, butuh bantuan!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Cilacap.;0
Banjir bandang menerjang perumahan Grobogan, evakuasi mendesak!;1
Apa saja syarat mengurus SKCK di Polres Kudus?;0
Banjir bandang menerjang perumahan Pemalang, evakuasi mendesak!;1
Warga sedang mengadakan acara syukuran di balai desa Salatiga.;0
Tawuran massal pecah di depan sekolah Surakarta, situasi darurat!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Kendal.;0
Ada aksi perampokan bank di pusat kota Purworejo, segera kirim bantuan!;1
Warga sedang mengadakan acara syukuran di balai desa Banyumas.;0
Warga diserang komplotan begal bersenjata di Temanggung!;1
Lalu lintas di jalur Purworejo pagi ini terpantau lancar.;0
Tolong ada kecelakaan maut di KM Cilacap tol!;1
Apa saja syarat mengurus SKCK di Polres Cilacap?;0
Warga diserang komplotan begal bersenjata di Sragen!;1
Petugas melakukan patroli rutin di lingkungan warga Pati.;0
Tawuran massal pecah di depan sekolah Batang, situasi darurat!;1
Info jadwal perpanjangan SIM di Polres Magelang.;0
Tawuran massal pecah di depan sekolah Pekalongan, situasi darurat!;1
Lalu lintas di jalur Jepara pagi ini terpantau lancar.;0
Tolong ada kecelakaan maut di KM Blora tol!;1
Petugas melakukan patroli rutin di lingkungan warga Blora.;0
Warga diserang komplotan begal bersenjata di Semarang!;1
Warga sedang mengadakan acara syukuran di balai desa Kebumen.;0
Pasien kritis butuh pengawalan ambulans darurat di Blora!;1
Petugas melakukan patroli rutin di lingkungan warga Batang.;0
Ada korban penembakan di jalan Grobogan, pelaku kabur!;1
Cuaca di wilayah Rembang mendung, pengendara dihimbau hati-hati.;0
Ada aksi perampokan bank di pusat kota Magelang, segera kirim bantuan!;1
Apa saja syarat mengurus SKCK di Polres Purwokerto?;0
Kebakaran hebat sedang berlangsung di pasar Pekalongan, butuh bantuan!;1
Cuaca di wilayah Brebes mendung, pengendara dihimbau hati-hati.;0
Tawuran massal pecah di depan sekolah Batang, situasi darurat!;1
Cuaca di wilayah Magelang mendung, pengendara dihimbau hati-hati.;0
Tawuran massal pecah di depan sekolah Purwokerto, situasi darurat!;1
Info jadwal perpanjangan SIM di Polres Rembang.;0
Ada aksi perampokan bank di pusat kota Cilacap, segera kirim bantuan!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Jepara.;0
Banjir bandang menerjang perumahan Brebes, evakuasi mendesak!;1
Sosialisasi bahaya narkoba akan diadakan di sekolah Temanggung.;0
Banjir bandang menerjang perumahan Pemalang, evakuasi mendesak!;1
Cuaca di wilayah Magelang mendung, pengendara dihimbau hati-hati.;0
Ada aksi perampokan bank di pusat kota Rembang, segera kirim bantuan!;1
Petugas melakukan patroli rutin di lingkungan warga Grobogan.;0
Ada aksi perampokan bank di pusat kota Kebumen, segera kirim bantuan!;1
Info jadwal perpanjangan SIM di Polres Boyolali.;0
Ada korban penembakan di jalan Banjarnegara, pelaku kabur!;1
Lalu lintas di jalur Kendal pagi ini terpantau lancar.;0
Warga diserang komplotan begal bersenjata di Purworejo!;1
Warga sedang mengadakan acara syukuran di balai desa Salatiga.;0
